month,action,is_partner,servtype,users,services,items,payment,primecost
2018-01,new,0,domain,6107,9811,9813,2273837,1852603
2018-01,new,1,domain,1118,6702,6702,1301999,1150975
2018-01,renew,0,domain,5879,7323,7324,6176681,1499403
2018-01,renew,1,domain,3315,11978,11984,2852070,1881500
2018-02,new,0,domain,6468,10445,10445,2383773,1918312
2018-02,new,1,domain,1132,6123,6125,1172085,1037475
2018-02,renew,0,domain,5866,7227,7228,6229584,1494495
2018-02,renew,1,domain,2407,10050,10051,2652366,1629543
2018-03,new,0,domain,6743,10825,10827,2458122,2139693
2018-03,new,1,domain,1166,6792,6794,1244638,1136499
2018-03,renew,0,domain,6499,8028,8035,6932644,1706424
2018-03,renew,1,domain,2505,10712,10714,2732561,1709297
2018-04,new,0,domain,6347,10240,10240,2278594,2090883
2018-04,new,1,domain,1164,6405,6407,1193526,1147352
2018-04,renew,0,domain,5756,7051,7057,6100833,1523687
2018-04,renew,1,domain,2370,9516,9518,2482552,1560577
2018-05,new,0,domain,5900,9826,9830,2201876,2073916
2018-05,new,1,domain,1098,6371,6373,1165474,1128250
2018-05,renew,0,domain,5553,6703,6704,5857683,1482718
2018-05,renew,1,domain,2504,10575,10576,2635032,1731705
2018-06,new,0,domain,5603,9256,9258,2088899,1970137
2018-06,new,1,domain,961,5530,5532,1000321,984020
2018-06,renew,0,domain,5192,6297,6303,5454859,1372819
2018-06,renew,1,domain,2155,10283,10285,2489113,1651148
2018-01,new,0,server,17,36,36,182381,149222
2018-02,new,0,server,17,35,35,268806,130716
2018-03,new,0,server,20,47,47,216151,154901
2018-04,new,0,server,14,18,18,173780,28500
2018-05,new,0,server,17,18,18,292072,10000
2018-06,new,0,server,15,26,26,503240,3500
2018-07,new,0,server,13,13,13,193499,0
2018-08,new,0,server,17,20,20,174068,3
2018-09,new,0,server,12,12,12,238883,0
2018-10,new,0,server,17,18,18,197007,9500
2018-11,new,0,server,17,17,17,188222,4000
2018-12,new,0,server,18,19,19,191933,15500
2019-01,new,0,server,13,13,13,135118,0
2019-02,new,0,server,22,24,24,272743,23500
2019-03,new,0,server,18,22,22,215722,0
2019-04,new,0,server,20,25,25,587583,9500
2019-05,new,0,server,12,15,15,159963,0
2019-06,new,0,server,12,16,16,173905,0
2019-07,new,0,server,24,28,28,596291,35700
2019-08,new,0,server,18,18,18,701554,7500
2019-09,new,0,server,21,27,27,266655,11003
2019-10,new,0,server,25,29,29,280384,7000
2019-11,new,0,server,17,17,17,297553,7500
2019-12,new,0,server,31,32,32,933602,0
2018-01,new,0,hosting,1084,1141,1141,1103043,523652
2018-02,new,0,hosting,1016,1060,1060,984235,468979
2018-03,new,0,hosting,1160,1205,1205,1260375,598042
2018-04,new,0,hosting,1090,1137,1137,1121578,533154
2018-05,new,0,hosting,1083,1125,1125,1105473,524794
2018-06,new,0,hosting,961,989,989,1007772,479666
2018-07,new,0,hosting,937,974,974,914171,435730
2018-08,new,0,hosting,1118,1172,1172,1118339,531875
2018-09,new,0,hosting,1306,1361,1361,1328754,629502
2018-10,new,0,hosting,1408,1472,1472,1553103,737488
2018-11,new,0,hosting,1359,1455,1455,1397106,661769
2018-12,new,0,hosting,1302,1561,1561,1233647,586337
2019-01,new,0,hosting,1475,1616,1616,1498821,712504
2019-02,new,0,hosting,1635,1815,1815,1737548,825259
2019-03,new,0,hosting,1659,1792,1792,1717415,816303
2019-04,new,0,hosting,1594,1685,1685,1495171,712044
2019-05,new,0,hosting,1676,1766,1766,1222014,580980
2019-06,new,0,hosting,1726,1798,1798,1209382,574047
2019-07,new,0,hosting,2038,2153,2153,1404304,666129
2019-08,new,0,hosting,2068,2160,2160,1432067,681632
2019-09,new,0,hosting,2072,2177,2177,1497578,712500
2019-10,new,0,hosting,2300,2410,2410,1710504,813309
2019-11,new,0,hosting,2294,2370,2370,1743349,826065
2019-12,new,0,hosting,1754,1825,1825,1623700,771837
2018-07,new,0,domain,5798,10739,10741,2453852,2318097
